session_id,user_id,group,session_ts,city_tier,device,is_new_user,cart_items,cart_subtotal_inr,order_placed
S0098829,U094557,treatment,2026-02-02 00:02:11,tier_2,android,0,9,672.89,0
S0003211,U007043,control,2026-02-02 00:02:52,metro,android,0,3,305.95,1
S0155253,U073222,control,2026-02-02 00:06:32,tier_3,android,0,5,231.93,1
S0114016,U103578,control,2026-02-02 00:12:45,metro,android,0,1,90.94,1
S0066057,U115851,treatment,2026-02-02 00:13:22,tier_3,android,1,2,153.31,0
S0065627,U115538,control,2026-02-02 00:14:18,tier_3,android,0,5,301.81,0
S0054389,U050052,treatment,2026-02-02 00:16:33,tier_3,Android,0,5,161.36,0
S0070923,U154915,control,2026-02-02 00:17:14,metro,android,0,6,671.76,1
S0118092,U143737,treatment,2026-02-02 00:17:45,tier_3,android,1,3,267.19,1
S0003484,U110821,control,2026-02-02 00:39:46,tier_2,ios,0,5,589.6,0
S0151159,U113459,control,2026-02-02 00:45:27,tier_3,Android,0,8,556.57,0
S0045916,U051021,control,2026-02-02 00:46:12,tier_3,Android,0,7,927.83,1
S0135704,U142366,control,2026-02-02 01:09:27,metro,android,0,8,1236.31,0
S0148965,U059913,control,2026-02-02 01:10:10,metro,android,1,1,106.46,1
S0098796,U125998,control,2026-02-02 01:22:40,metro,android,1,6,630.64,0
S0099062,U125421,treatment,2026-02-02 01:23:18,tier_2,ios,0,6,325.73,1
S0011707,U119760,control,2026-02-02 01:25:33,tier_2,Android,0,2,211.25,1
S0006739,U091979,treatment,2026-02-02 01:31:01,tier_3,ios,0,4,480.44,0
S0026681,U131682,treatment,2026-02-02 01:36:21,tier_3,Android,0,5,248.15,0
S0105503,U079987,control,2026-02-02 01:40:14,tier_3,android,1,4,166.92,0
S0022352,U007539,treatment,2026-02-02 01:40:39,tier_2,Android,1,3,211.01,0
S0034817,U050556,control,2026-02-02 02:20:45,metro,android,0,2,173.43,1
S0108433,U060901,control,2026-02-02 02:22:57,metro,android,0,5,547.67,1
S0048486,U045750,treatment,2026-02-02 02:47:27,tier_2,Android,0,3,424.55,0
S0068140,U001197,control,2026-02-02 02:49:17,metro,Android,0,6,713.09,0
S0045148,U083584,treatment,2026-02-02 03:41:19,tier_3,android,0,5,212.42,0
S0018219,U131499,control,2026-02-02 03:51:30,metro,Android,1,6,648.97,0
S0123363,U101828,treatment,2026-02-02 03:53:11,metro,android,1,4,198.81,0
S0116683,U096295,control,2026-02-02 03:55:48,metro,Android,0,3,142.18,1
S0033622,U071947,control,2026-02-02 03:55:55,tier_2,ios,0,5,296.85,0
S0088146,U029492,control,2026-02-02 04:04:30,metro,Android,0,3,271.87,0
S0083834,U147574,control,2026-02-02 04:05:53,metro,android,1,2,306.17,0
S0001607,U107751,control,2026-02-02 04:06:00,tier_3,android,1,4,328.91,1
S0133346,U004528,control,2026-02-02 04:06:04,tier_3,Android,0,3,379.34,0
S0023602,U104142,treatment,2026-02-02 04:08:11,tier_2,android,0,3,429.09,1
S0016822,U001541,treatment,2026-02-02 04:09:13,tier_3,android,0,4,225.18,0
S0151661,U001031,control,2026-02-02 04:09:45,tier_3,ios,0,2,133.03,0
S0069471,U043826,treatment,2026-02-02 04:12:12,metro,ios,0,5,598.97,0
S0070055,U028045,treatment,2026-02-02 04:29:21,tier_3,android,1,3,122.13,0
S0094922,U042649,treatment,2026-02-02 04:37:18,tier_3,Android,0,5,398.91,0
S0015338,U018959,control,2026-02-02 04:46:22,metro,android,1,3,342.95,0
S0076461,U026259,treatment,2026-02-02 04:47:05,tier_3,ios,0,4,337.35,1
S0065580,U121192,control,2026-02-02 04:48:13,tier_3,ios,0,2,163.97,1
S0023397,U096603,control,2026-02-02 04:49:36,tier_2,android,0,5,427.62,1
S0095652,U020086,control,2026-02-02 04:57:17,tier_2,ios,0,5,694.27,1
S0146039,U090518,control,2026-02-02 05:01:06,tier_2,Android,0,4,389.93,0
S0039992,U025225,control,2026-02-02 05:01:23,metro,android,0,3,367.73,1
S0146022,U156937,control,2026-02-02 05:02:30,tier_2,android,1,3,262.16,1
S0107365,U101672,control,2026-02-02 05:04:46,metro,ios,0,7,556.97,1
S0130996,U075264,treatment,2026-02-02 05:05:38,metro,Android,0,5,665.49,1
S0090698,U040502,treatment,2026-02-02 05:07:15,tier_3,web,0,5,306.27,0
S0045315,U098302,treatment,2026-02-02 05:08:24,tier_3,android,1,5,360.31,1
S0059733,U065733,treatment,2026-02-02 05:13:11,metro,Android,0,3,271.44,1
S0107361,U145071,treatment,2026-02-02 05:13:32,metro,android,0,4,306.46,1
S0158620,U009581,control,2026-02-02 05:15:44,tier_2,ios,0,3,280.2,1
S0125069,U080019,treatment,2026-02-02 05:15:54,metro,Android,0,5,334.32,1
S0003727,U055105,treatment,2026-02-02 05:19:38,tier_3,android,0,6,708.73,0
S0156930,U051575,control,2026-02-02 05:21:28,metro,android,0,7,431.18,0
S0062391,U095657,treatment,2026-02-02 05:21:59,tier_2,web,1,3,182.04,0
S0019583,U122906,treatment,2026-02-02 05:22:14,metro,android,1,4,238.55,0
S0154736,U116233,control,2026-02-02 05:23:40,tier_2,android,0,3,263.23,0
S0127866,U003744,control,2026-02-02 05:28:31,tier_2,ios,1,5,238.24,0
S0093533,U126745,treatment,2026-02-02 05:29:52,metro,android,0,3,305.73,0
S0154418,U051278,treatment,2026-02-02 05:31:50,metro,Android,1,3,466.77,0
S0038694,U119859,treatment,2026-02-02 05:32:46,tier_2,web,0,6,462.04,0
S0115370,U058923,treatment,2026-02-02 05:32:55,metro,ios,0,4,328.53,0
S0057987,U093311,control,2026-02-02 05:34:01,metro,ios,0,2,259.25,0
S0047530,U082405,control,2026-02-02 05:34:53,tier_2,ios,0,8,600.32,1
S0082668,U055015,control,2026-02-02 05:35:04,metro,ios,1,5,595.93,0
S0152392,U108215,treatment,2026-02-02 05:36:58,metro,web,0,3,358.52,0
S0068290,U156052,treatment,2026-02-02 05:37:31,tier_3,Android,1,4,369.45,1
S0029691,U095747,control,2026-02-02 05:38:44,metro,android,0,5,660.96,1
S0006751,U090241,control,2026-02-02 05:39:49,metro,Android,0,2,283.29,0
S0118582,U007917,treatment,2026-02-02 05:46:34,metro,android,1,3,324.08,0
S0151367,U062801,treatment,2026-02-02 05:47:58,metro,Android,0,4,266.34,1
S0058289,U140692,treatment,2026-02-02 05:50:27,metro,android,1,5,576.82,0
S0054361,U133834,treatment,2026-02-02 05:54:16,tier_2,web,0,1,95.11,0
S0003450,U100122,control,2026-02-02 05:57:39,tier_3,ios,0,2,142.98,0
S0101337,U070401,treatment,2026-02-02 05:57:57,tier_3,ios,0,4,273.7,0
S0120034,U033349,control,2026-02-02 05:59:07,metro,android,1,2,226.88,1
S0021604,U016572,treatment,2026-02-02 05:59:45,metro,android,1,8,905.86,1
S0064484,U116813,control,2026-02-02 06:00:24,metro,Android,0,3,296.74,1
S0076884,U017306,control,2026-02-02 06:01:13,metro,Android,0,4,705.11,0
S0037606,U145419,control,2026-02-02 06:02:10,metro,android,1,6,409.38,0
S0146645,U058076,treatment,2026-02-02 06:02:24,metro,android,0,4,391.21,0
S0064351,U141998,treatment,2026-02-02 06:02:57,tier_2,Android,0,8,435.31,1
S0007497,U004709,control,2026-02-02 06:03:21,metro,android,0,1,136.12,0
S0038804,U102898,control,2026-02-02 06:03:47,tier_3,ios,1,2,196.88,0
S0118338,U042565,control,2026-02-02 06:03:51,metro,ios,1,3,250.07,0
S0024871,U034211,treatment,2026-02-02 06:04:12,metro,android,0,6,1056.3,0
S0024871,U034211,treatment,2026-02-02 06:04:12,metro,android,0,6,1056.3,0
S0066294,U136144,control,2026-02-02 06:04:38,tier_3,android,0,8,557.16,0
S0015728,U115756,control,2026-02-02 06:04:52,tier_2,web,1,3,404.45,1
S0076299,U012854,control,2026-02-02 06:05:31,tier_2,android,0,2,170.65,0
S0076794,U032439,treatment,2026-02-02 06:05:55,tier_3,android,0,4,209.13,0
S0009544,U060633,treatment,2026-02-02 06:06:13,tier_2,Android,0,7,805.99,0
S0073540,U014914,treatment,2026-02-02 06:06:21,tier_3,ios,1,7,784.1,0
S0153746,U132266,treatment,2026-02-02 06:06:42,tier_3,Android,0,7,331.9,1
S0052906,U038040,control,2026-02-02 06:07:05,tier_2,ios,0,5,543.8,1
S0113510,U034013,treatment,2026-02-02 06:07:36,tier_2,android,0,6,581.84,1
S0137314,U010577,control,2026-02-02 06:07:46,metro,android,0,6,629.82,0
S0119935,U072821,treatment,2026-02-02 06:08:16,metro,android,1,5,721.49,1
S0045444,U021096,treatment,2026-02-02 06:08:42,tier_2,web,1,7,794.11,1
S0145666,U031266,treatment,2026-02-02 06:09:12,metro,android,0,11,1463.88,0
S0051766,U042865,treatment,2026-02-02 06:09:18,metro,web,0,4,245.52,1
S0073515,U008127,control,2026-02-02 06:10:15,tier_2,android,1,7,646.71,0
S0043031,U027209,treatment,2026-02-02 06:10:56,metro,android,0,6,737.93,1
S0108622,U117258,control,2026-02-02 06:11:56,metro,android,1,3,693.94,0
S0132457,U145100,treatment,2026-02-02 06:11:59,metro,Android,0,6,603.99,1
S0067465,U000875,treatment,2026-02-02 06:12:00,tier_2,android,0,4,542.35,0
S0084046,U027693,treatment,2026-02-02 06:13:46,tier_3,ios,1,5,374.47,0
S0003453,U149680,control,2026-02-02 06:15:44,metro,web,1,12,1302.73,0
S0082353,U054140,treatment,2026-02-02 06:16:04,metro,Android,1,2,244.04,0
S0132419,U059500,treatment,2026-02-02 06:18:49,tier_2,web,0,4,137.06,1
S0149091,U129587,treatment,2026-02-02 06:19:30,metro,web,0,3,360.73,0
S0136539,U007943,treatment,2026-02-02 06:19:35,metro,web,1,6,537.68,1
S0153358,U079472,treatment,2026-02-02 06:19:38,metro,web,0,4,328.72,1
S0080398,U008143,control,2026-02-02 06:19:47,metro,Android,1,2,102.94,0
S0135956,U032578,treatment,2026-02-02 06:21:22,tier_3,Android,0,7,757.84,1
S0061136,U101890,treatment,2026-02-02 06:21:39,metro,android,0,6,660.69,0
S0006799,U026672,treatment,2026-02-02 06:21:43,tier_2,ios,0,1,183.81,1
S0120428,U039789,treatment,2026-02-02 06:22:03,tier_3,web,0,6,389.92,0
S0045090,U070988,control,2026-02-02 06:22:22,tier_2,Android,0,8,1103.74,0
S0048638,U016173,control,2026-02-02 06:22:41,tier_2,Android,1,4,178.07,1
S0075575,U137713,control,2026-02-02 06:24:16,metro,android,0,5,382.74,1
S0120904,U038707,control,2026-02-02 06:25:15,tier_3,android,0,4,480.16,0
S0061642,U003765,control,2026-02-02 06:25:44,tier_3,android,0,3,303.56,0
S0010723,U055577,treatment,2026-02-02 06:25:53,metro,web,0,3,310.73,1
S0066274,U045090,treatment,2026-02-02 06:25:59,metro,android,0,7,615.44,0
S0126452,U135401,treatment,2026-02-02 06:26:11,metro,ios,0,9,1579.77,1
S0054421,U061792,control,2026-02-02 06:27:17,metro,ios,0,6,681.04,0
S0105622,U063783,control,2026-02-02 06:27:42,tier_2,android,0,4,436.45,0
S0002504,U153533,control,2026-02-02 06:28:44,tier_3,web,0,5,511.84,0
S0024753,U125441,control,2026-02-02 06:29:22,tier_2,ios,0,7,1127.3,1
S0098633,U018256,control,2026-02-02 06:29:53,tier_2,android,0,4,391.6,0
S0148714,U124477,control,2026-02-02 06:30:29,metro,android,1,4,370.8,0
S0076359,U063845,control,2026-02-02 06:31:31,tier_3,android,1,6,404.03,1
S0102464,U093439,treatment,2026-02-02 06:31:50,metro,android,1,3,239.04,0
S0119166,U126101,treatment,2026-02-02 06:32:42,metro,android,0,2,134.42,0
S0052150,U102776,control,2026-02-02 06:32:59,tier_2,android,0,4,470.87,1
S0085799,U072588,treatment,2026-02-02 06:33:13,metro,Android,1,7,476.77,0
S0134329,U069231,control,2026-02-02 06:33:25,tier_3,android,0,2,252.9,0
S0004588,U095973,treatment,2026-02-02 06:33:30,tier_3,ios,1,2,193.9,1
S0157476,U055086,control,2026-02-02 06:33:36,tier_3,ios,1,8,507.72,0
S0151279,U108637,treatment,2026-02-02 06:34:13,tier_2,ios,0,5,865.71,1
S0028217,U072881,treatment,2026-02-02 06:34:45,tier_3,Android,0,6,696.5,0
S0030238,U038969,treatment,2026-02-02 06:35:03,tier_3,android,0,4,410.84,0
S0121301,U066689,control,2026-02-02 06:35:21,tier_3,android,0,8,714.14,0
