order_id,session_id,user_id,group,city_tier,phase,order_ts,items_count,basket_value_inr,free_delivery_unlocked,delivery_fee_charged_inr,delivery_cost_inr,gross_margin_inr
O0000001,S0003211,U007043,control,metro,post,2026-02-02 00:09:27,3,333.47,0,35.0,33.07,46.6
O0000002,S0155253,U073222,control,tier_3,post,2026-02-02 00:12:53,5,229.83,0,35.0,52.78,34.5
O0000003,S0114016,U103578,control,metro,post,2026-02-02 00:17:06,1,96.57,0,35.0,53.64,16.45
O0000004,S0070923,U154915,control,metro,post,2026-02-02 00:20:33,6,668.21,1,0.0,43.13,137.9
O0000005,S0118092,U143737,treatment,tier_3,post,2026-02-02 00:23:28,3,253.71,0,35.0,46.01,48.5
O0000006,S0045916,U051021,control,tier_3,post,2026-02-02 00:49:13,7,979.37,1,0.0,62.2,205.49
O0000007,S0148965,U059913,control,metro,post,2026-02-02 01:12:25,1,106.48,0,35.0,45.16,15.43
O0000008,S0011707,U119760,control,tier_2,post,2026-02-02 01:27:21,2,211.25,0,35.0,38.26,40.52
O0000009,S0099062,U125421,treatment,tier_2,post,2026-02-02 01:28:49,6,300.39,0,35.0,50.98,54.57
O0000010,S0034817,U050556,control,metro,post,2026-02-02 02:23:26,2,168.07,0,35.0,38.78,34.5
O0000011,S0108433,U060901,control,metro,post,2026-02-02 02:28:27,5,592.38,1,0.0,40.71,100.48
O0000012,S0116683,U096295,control,metro,post,2026-02-02 03:58:18,3,159.09,0,35.0,29.96,24.94
O0000013,S0001607,U107751,control,tier_3,post,2026-02-02 04:09:07,4,,0,35.0,56.88,57.32
O0000014,S0023602,U104142,treatment,tier_2,post,2026-02-02 04:13:35,3,647.36,1,0.0,42.61,104.52
O0000015,S0076461,U026259,treatment,tier_3,post,2026-02-02 04:50:16,4,618.23,1,0.0,56.88,137.11
O0000016,S0065580,U121192,control,tier_3,post,2026-02-02 04:53:30,2,148.86,0,35.0,55.18,28.7
O0000017,S0023397,U096603,control,tier_2,post,2026-02-02 04:54:53,5,482.11,0,35.0,45.8,87.14
O0000018,S0095652,U020086,control,tier_2,post,2026-02-02 04:59:07,5,660.06,1,0.0,50.22,106.84
O0000019,S0039992,U025225,control,metro,post,2026-02-02 05:03:08,3,425.67,0,35.0,48.96,64.17
O0000020,S0146022,U156937,control,tier_2,post,2026-02-02 05:03:23,3,315.82,0,35.0,54.34,61.07
O0000021,S0107365,U101672,control,metro,post,2026-02-02 05:07:42,7,479.56,0,35.0,40.41,93.32
O0000022,S0130996,U075264,treatment,metro,post,2026-02-02 05:09:50,5,724.54,1,0.0,35.12,136.02
O0000023,S0045315,U098302,treatment,tier_3,post,2026-02-02 05:14:22,5,564.18,1,0.0,62.21,98.03
O0000024,S0158620,U009581,control,tier_2,post,2026-02-02 05:17:40,3,294.27,0,35.0,41.94,56.95
O0000025,S0059733,U065733,treatment,metro,post,2026-02-02 05:17:51,3,313.42,0,35.0,33.55,54.64
O0000026,S0107361,U145071,treatment,metro,post,2026-02-02 05:18:45,4,683.04,1,0.0,44.25,152.15
O0000027,S0125069,U080019,treatment,metro,post,2026-02-02 05:21:30,5,380.83,0,35.0,33.24,77.01
O0000028,S0029691,U095747,control,metro,post,2026-02-02 05:40:15,5,686.35,1,0.0,32.96,130.93
O0000029,S0047530,U082405,control,tier_2,post,2026-02-02 05:40:42,8,661.98,1,0.0,46.0,117.47
O0000030,S0068290,U156052,treatment,tier_3,post,2026-02-02 05:44:09,4,547.09,1,0.0,58.09,109.04
O0000031,S0151367,U062801,treatment,metro,post,2026-02-02 05:51:37,4,291.94,0,35.0,43.22,51.64
O0000032,S0120034,U033349,control,metro,post,2026-02-02 06:04:18,2,192.48,0,35.0,40.94,41.94
O0000033,S0021604,U016572,treatment,metro,post,2026-02-02 06:04:36,8,1054.07,1,0.0,32.76,221.86
O0000034,S0064484,U116813,control,metro,post,2026-02-02 06:04:48,3,330.68,0,35.0,39.53,53.51
O0000035,S0015728,U115756,control,tier_2,post,2026-02-02 06:06:17,3,391.13,0,35.0,35.9,66.26
O0000036,S0153746,U132266,treatment,tier_3,post,2026-02-02 06:07:48,7,527.99,1,0.0,63.02,89.35
